                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
113,0.7686,0.38448,1.2082,0.97786,0.9749,0.99302,0.79418,0.79299,0.32185,1.0858,0.00065166,0.00065166,0.00065166
114,0.77554,0.384,1.2082,0.98177,0.96565,0.99138,0.79564,0.79495,0.31794,1.0914,0.00063951,0.00063951,0.00063951
115,0.76856,0.38429,1.2063,0.9826,0.96953,0.99211,0.79733,0.79668,0.31913,1.087,0.00062736,0.00062736,0.00062736
116,0.75467,0.37572,1.1947,0.98222,0.96433,0.992,0.79588,0.7968,0.32017,1.0884,0.00061521,0.00061521,0.00061521
117,0.75877,0.37911,1.1995,0.98394,0.97147,0.9925,0.7896,0.7945,0.31692,1.0899,0.00060307,0.00060307,0.00060307
118,0.75565,0.37073,1.1986,0.98389,0.96811,0.99276,0.7939,0.79731,0.31353,1.0962,0.00059092,0.00059092,0.00059092
119,0.75764,0.37609,1.1969,0.97967,0.96962,0.99246,0.79453,0.79191,0.31523,1.0853,0.00057877,0.00057877,0.00057877
120,0.75607,0.37213,1.198,0.98518,0.96629,0.99286,0.79083,0.78962,0.32047,1.083,0.00056663,0.00056663,0.00056663
121,0.76587,0.37588,1.203,0.98118,0.97358,0.99316,0.79421,0.7908,0.31637,1.0841,0.00055448,0.00055448,0.00055448
122,0.74977,0.37232,1.1958,0.98786,0.96745,0.99313,0.79723,0.78761,0.31597,1.0843,0.00054233,0.00054233,0.00054233
123,0.7552,0.37432,1.1983,0.98525,0.97073,0.99313,0.79244,0.80044,0.3176,1.0901,0.00053018,0.00053018,0.00053018
124,0.75494,0.36977,1.1944,0.98132,0.97131,0.99295,0.79896,0.79463,0.32032,1.0871,0.00051804,0.00051804,0.00051804
125,0.74021,0.3647,1.1875,0.98144,0.96962,0.99283,0.79964,0.79516,0.32367,1.0914,0.00050589,0.00050589,0.00050589
126,0.75401,0.36807,1.1941,0.98318,0.97094,0.99294,0.79954,0.79517,0.31627,1.0879,0.00049374,0.00049374,0.00049374
127,0.74182,0.36679,1.1883,0.97877,0.97226,0.99309,0.79994,0.79496,0.3191,1.0924,0.0004816,0.0004816,0.0004816
128,0.74371,0.3666,1.1871,0.98259,0.97358,0.9934,0.80113,0.79946,0.31352,1.0937,0.00046945,0.00046945,0.00046945
129,0.74748,0.36516,1.1845,0.98389,0.96839,0.99292,0.80088,0.79765,0.31394,1.0919,0.0004573,0.0004573,0.0004573
130,0.74054,0.36138,1.1887,0.98108,0.97358,0.99316,0.80227,0.79495,0.31045,1.0884,0.00044515,0.00044515,0.00044515
131,0.75341,0.36661,1.1924,0.9796,0.97226,0.99305,0.80287,0.79259,0.30922,1.0891,0.00043301,0.00043301,0.00043301
132,0.73213,0.35333,1.1862,0.9801,0.97574,0.99288,0.8021,0.79509,0.31207,1.0894,0.00042086,0.00042086,0.00042086
133,0.74156,0.36533,1.1881,0.97881,0.97613,0.99287,0.80243,0.79317,0.30896,1.0863,0.00040871,0.00040871,0.00040871
134,0.72289,0.34854,1.1808,0.97989,0.97622,0.99288,0.80431,0.79067,0.30842,1.0877,0.00039656,0.00039656,0.00039656
135,0.72672,0.35768,1.18,0.9826,0.96987,0.99281,0.80591,0.79189,0.31007,1.0863,0.00038442,0.00038442,0.00038442
136,0.73483,0.3621,1.184,0.98126,0.96962,0.99262,0.8041,0.78832,0.30699,1.088,0.00037227,0.00037227,0.00037227
137,0.72292,0.35109,1.1758,0.98508,0.96697,0.99297,0.79733,0.79105,0.3077,1.0903,0.00036012,0.00036012,0.00036012
138,0.72042,0.34812,1.1726,0.98001,0.97149,0.99286,0.80077,0.79012,0.30868,1.0874,0.00034798,0.00034798,0.00034798
139,0.72208,0.35074,1.1722,0.97852,0.97226,0.99303,0.79995,0.78929,0.30888,1.0834,0.00033583,0.00033583,0.00033583
140,0.72782,0.35205,1.1819,0.97818,0.97226,0.99309,0.79905,0.79028,0.30819,1.084,0.00032368,0.00032368,0.00032368
141,0.7234,0.35127,1.1732,0.98004,0.97358,0.99282,0.79991,0.78658,0.30739,1.0823,0.00031153,0.00031153,0.00031153
142,0.72497,0.3493,1.1741,0.98119,0.97358,0.99293,0.80212,0.78548,0.30471,1.0814,0.00029939,0.00029939,0.00029939
143,0.71889,0.34516,1.1741,0.98004,0.97268,0.99302,0.80325,0.7839,0.30389,1.0811,0.00028724,0.00028724,0.00028724
144,0.72131,0.34772,1.1676,0.98395,0.97154,0.99295,0.80366,0.78687,0.30698,1.0814,0.00027509,0.00027509,0.00027509
145,0.71702,0.34646,1.172,0.98312,0.97094,0.993,0.80184,0.78737,0.30653,1.0816,0.00026294,0.00026294,0.00026294
146,0.71041,0.34086,1.1683,0.97999,0.97358,0.99307,0.80038,0.78988,0.30628,1.0828,0.0002508,0.0002508,0.0002508
147,0.70973,0.34078,1.1632,0.9795,0.97358,0.993,0.80249,0.79142,0.30723,1.0835,0.00023865,0.00023865,0.00023865
148,0.71094,0.3437,1.1692,0.98614,0.96697,0.99289,0.79963,0.79054,0.30683,1.084,0.0002265,0.0002265,0.0002265
149,0.70367,0.33784,1.1592,0.97877,0.97447,0.99297,0.80382,0.78852,0.30529,1.0849,0.00021436,0.00021436,0.00021436
150,0.70941,0.33963,1.1632,0.98517,0.96557,0.99295,0.80419,0.78952,0.30499,1.0855,0.00020221,0.00020221,0.00020221
151,0.71232,0.34166,1.166,0.98388,0.96778,0.99284,0.80505,0.78627,0.30217,1.0823,0.00019006,0.00019006,0.00019006
152,0.7086,0.33586,1.1649,0.98157,0.96962,0.99282,0.80388,0.7866,0.30143,1.0822,0.00017791,0.00017791,0.00017791
153,0.69695,0.33039,1.1593,0.98107,0.96962,0.99256,0.80413,0.78536,0.29915,1.0823,0.00016577,0.00016577,0.00016577
154,0.65846,0.27845,1.1055,0.9788,0.97579,0.99296,0.80409,0.78595,0.30053,1.0846,0.00015362,0.00015362,0.00015362
155,0.64608,0.26711,1.0963,0.98007,0.97458,0.99302,0.80232,0.78555,0.30189,1.0848,0.00014147,0.00014147,0.00014147
156,0.63937,0.26121,1.0928,0.98089,0.97226,0.99299,0.80319,0.78767,0.30128,1.0882,0.00012933,0.00012933,0.00012933
157,0.63992,0.26385,1.0906,0.97908,0.97226,0.99291,0.80297,0.78678,0.30036,1.0879,0.00011718,0.00011718,0.00011718
158,0.63596,0.26009,1.089,0.97954,0.97358,0.99296,0.80449,0.78765,0.2968,1.0873,0.00010503,0.00010503,0.00010503
159,0.63235,0.26131,1.0828,0.97882,0.97358,0.99289,0.80533,0.78802,0.29628,1.0876,9.29E-05,9.29E-05,9.29E-05
160,0.62948,0.25792,1.0829,0.9826,0.97007,0.99292,0.80636,0.78623,0.29534,1.0868,8.07E-05,8.07E-05,8.07E-05
161,0.6237,0.25545,1.081,0.98261,0.97032,0.99296,0.8066,0.78477,0.29509,1.0864,6.86E-05,6.86E-05,6.86E-05
162,0.62793,0.25544,1.0816,0.98477,0.96962,0.99297,0.80606,0.7857,0.29489,1.087,5.64E-05,5.64E-05,5.64E-05
163,0.62249,0.25451,1.0785,0.98233,0.96962,0.99307,0.80692,0.78674,0.29589,1.0875,4.43E-05,4.43E-05,4.43E-05
