                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     91,                0.84454,                0.51177,                 1.2403,                0.97092,                0.97826,                0.99136,                 0.7657,                0.83492,                0.39866,                 1.1513,              0.0009189,              0.0009189,              0.0009189
                     92,                0.86112,                0.50853,                 1.2501,                0.97831,                 0.9805,                0.99114,                0.75952,                0.83025,                0.39372,                  1.151,             0.00090675,             0.00090675,             0.00090675
                     93,                0.83187,                0.49662,                 1.2379,                0.98215,                0.97846,                 0.9927,                0.76699,                 0.8396,                 0.3884,                 1.1521,              0.0008946,              0.0008946,              0.0008946
                     94,                0.83973,                 0.4957,                 1.2312,                0.98219,                0.97826,                0.99182,                0.76991,                0.80512,                 0.3837,                 1.1257,             0.00088245,             0.00088245,             0.00088245
                     95,                0.84077,                0.50151,                 1.2344,                0.96709,                0.98024,                0.98649,                0.75853,                0.84519,                0.39486,                 1.1455,             0.00087031,             0.00087031,             0.00087031
                     96,                0.82473,                0.49491,                 1.2299,                0.98026,                0.98115,                0.99138,                0.76409,                0.82503,                0.38818,                 1.1336,             0.00085816,             0.00085816,             0.00085816
                     97,                0.81673,                0.48147,                 1.2203,                0.97101,                0.97036,                0.98766,                0.76131,                0.82853,                 0.3859,                 1.1366,             0.00084601,             0.00084601,             0.00084601
                     98,                0.83316,                0.50082,                 1.2271,                0.98019,                0.97769,                 0.9907,                0.77205,                0.82744,                0.37575,                 1.1346,             0.00083387,             0.00083387,             0.00083387
                     99,                0.82737,                 0.4866,                 1.2284,                 0.9743,                0.97391,                0.99175,                0.76805,                0.80599,                 0.4009,                 1.1319,             0.00082172,             0.00082172,             0.00082172
                    100,                0.82888,                0.49021,                 1.2191,                0.98219,                0.98096,                 0.9928,                0.77373,                0.79796,                0.37474,                 1.1153,             0.00080957,             0.00080957,             0.00080957
                    101,                0.80259,                0.47065,                 1.2071,                0.98608,                0.97971,                 0.9916,                0.76972,                0.81913,                0.38937,                 1.1252,             0.00079742,             0.00079742,             0.00079742
                    102,                0.81247,                0.47988,                 1.2174,                0.97829,                 0.9796,                0.98943,                0.77138,                0.82387,                0.38786,                 1.1318,             0.00078528,             0.00078528,             0.00078528
                    103,                0.83481,                0.49175,                 1.2256,                0.97402,                0.97431,                0.99061,                0.77014,                0.81099,                0.38741,                 1.1185,             0.00077313,             0.00077313,             0.00077313
                    104,                0.80749,                0.47608,                 1.2084,                0.98204,                0.97253,                0.99008,                0.77603,                0.79953,                  0.385,                 1.1149,             0.00076098,             0.00076098,             0.00076098
                    105,                 0.8113,                0.47221,                 1.2154,                0.97379,                0.98221,                0.99075,                0.77395,                0.79996,                0.38089,                 1.1165,             0.00074883,             0.00074883,             0.00074883
                    106,                0.81686,                0.47222,                 1.2154,                0.97193,                0.98221,                0.99148,                0.76979,                0.82412,                0.38321,                 1.1248,             0.00073669,             0.00073669,             0.00073669
                    107,                0.79801,                0.46179,                 1.2018,                0.97071,                 0.9825,                0.99243,                0.77552,                0.80773,                0.37254,                 1.1069,             0.00072454,             0.00072454,             0.00072454
                    108,                0.78269,                 0.4511,                 1.1947,                0.98058,                0.98024,                0.99125,                 0.7656,                0.81289,                0.37566,                 1.1184,             0.00071239,             0.00071239,             0.00071239
                    109,                0.80191,                0.46154,                 1.2072,                0.99004,                 0.9822,                0.99251,                0.77866,                0.80769,                0.37235,                 1.1172,             0.00070025,             0.00070025,             0.00070025
